Project ID,Resource Item Name,Resource Quantity,Resource Unit Price,Resource Vendor Name
P0128,Wood Playground Equipment,11,6000.0,Other
P0129,Handicapped Playground,1,95000.0,Other
P0130,Kids Stay N Play Ball,14,20.0,Lakeshore Learning Materials
P0131,Privacy Partition,15,10.0,AKJ Education
P0131,Sound System,8,800.0,Other
P0132,Playground,12,5000.0,Other
P0133,Privacy Partition,7,10.0,AKJ Education
P0133,HP 11'6 Chromebook,11,220.0,Best Buy Education
P0133,Fencing Supplies and Labor,12,7500.0,Other
P0134,Standard Books,5,12.0,Amazon Business
P0134,HP 11'6 Chromebook,2,220.0,Best Buy Education
P0134,Trip,10,400.0,Other
P0135,Leveled Bookroom,12,3500.0,Amazon Business
P0135,Daktronic GS6,6,8000.0,Other
P0136,Commercial Furniture,8,150.0,Other
P0137,Soft Seats,1,15.0,Lakeshore Learning Materials
P0137,3D Printer,14,1500.0,MakerBot
P0138,Kids Stay N Play Ball,3,20.0,Lakeshore Learning Materials
P0139,Trip,9,400.0,Other
P0140,Markers,12,5.0,Amazon Business
P0140,3D Printer,12,1500.0,MakerBot
P0141,Noise,11,15.0,Other
P0141,Playground,11,5000.0,Other
P0142,Standard Books,2,12.0,Amazon Business
P0143,Standard Books,15,12.0,Amazon Business
P0143,Standard Books,8,12.0,Amazon Business
P0143,Trips,15,500.0,Other
P0144,Daktronic GS6,6,8000.0,Other
P0145,Little Tikes Commercial Structure,1,50000.0,Other
P0145,Wood Playground Equipment,14,6000.0,Other
P0145,Sound System,12,800.0,Other
P0146,Trips,2,500.0,Other
P0146,Playground,15,5000.0,Other
P0147,Commercial Furniture,6,150.0,Other
P0148,Wood Playground Equipment,15,6000.0,Other
P0148,Telescopic Gym,7,12000.0,Other
P0148,Wood Playground Equipment,10,6000.0,Other
P0149,Noise,9,15.0,Other
P0149,Noise,4,15.0,Other
P0150,Standard Books,5,12.0,Amazon Business
P0151,Soft Seats,5,15.0,Lakeshore Learning Materials
P0151,Trip,12,400.0,Other
P0152,Soft Seats,11,15.0,Lakeshore Learning Materials
P0152,Markers,15,5.0,Amazon Business
P0153,3D Printer,6,1500.0,MakerBot
P0153,Little Tikes Commercial Structure,1,50000.0,Other
P0153,Privacy Partition,14,10.0,AKJ Education
P0154,Trip,11,400.0,Other
P0154,Sound System,3,800.0,Other
P0155,Fencing Supplies and Labor,15,7500.0,Other
P0156,Kids Stay N Play Ball,9,20.0,Lakeshore Learning Materials
P0156,Daktronic GS6,6,8000.0,Other
P0157,Trips,12,500.0,Other
P0158,HP 11'6 Chromebook,10,220.0,Best Buy Education
P0159,Playground,8,5000.0,Other
P0160,Handicapped Playground,1,95000.0,Other
P0160,HP 11'6 Chromebook,6,220.0,Best Buy Education
P0161,Privacy Partition,2,10.0,AKJ Education
P0162,Black write and wipe markers ,2,6.0,Amazon Business
P0162,Daktronic GS6,6,8000.0,Other
P0162,Commercial Furniture,1,150.0,Other
P0163,Contra Bassoon,5,4500.0,Other
P0164,HP Chromebook,5,200.0,Best Buy Education
P0165,Kids Stay N Play Ball,14,20.0,Lakeshore Learning Materials
P0165,Sound System,2,800.0,Other
P0166,Standard Books,10,12.0,Amazon Business
P0167,Standard Books,13,12.0,Amazon Business
P0168,Contra Bassoon,2,4500.0,Other
P0169,HP 11'6 Chromebook,13,220.0,Best Buy Education
P0170,Telescopic Gym,4,12000.0,Other
P0170,Privacy Partition,1,10.0,AKJ Education
P0170,Handicapped Playground,1,95000.0,Other
P0171,Wood Playground Equipment,7,6000.0,Other
P0171,HP Chromebook,13,200.0,Best Buy Education
P0172,Kids Stay N Play Ball,3,20.0,Lakeshore Learning Materials
P0172,Wood Playground Equipment,13,6000.0,Other
P0173,HP Chromebook,11,200.0,Best Buy Education
P0174,Playground with Playsystem,3,25000.0,Other
P0174,Playground with Playsystem,4,25000.0,Other
P0175,Sound System,3,800.0,Other
P0175,Playground,15,5000.0,Other
P0175,Trips,1,500.0,Other
P0176,Soft Seats,8,15.0,Lakeshore Learning Materials
P0176,Trip,8,400.0,Other
P0176,Kids Stay N Play Ball,3,20.0,Lakeshore Learning Materials
P0177,Playground with Playsystem,10,25000.0,Other
P0177,Little Tikes Commercial Structure,1,50000.0,Other
P0178,Handicapped Playground,1,95000.0,Other
P0179,Markers,11,5.0,Amazon Business
P0179,Sound System,10,800.0,Other
P0180,Standard Books,14,12.0,Amazon Business
P0180,Apple Ipad,11,300.0,Best Buy Education
P0180,Sound System,3,800.0,Other
P0181,Markers,11,5.0,Amazon Business
P0181,Kids Stay N Play Ball,13,20.0,Lakeshore Learning Materials
P0181,Handicapped Playground,1,95000.0,Other
P0182,Kids Stay N Play Ball,9,20.0,Lakeshore Learning Materials
P0182,Apple Ipad,7,300.0,Best Buy Education
P0183,10 Alpha,12,50.0,Other
P0183,Fencing Supplies and Labor,5,7500.0,Other
P0183,Fencing Supplies and Labor,5,7500.0,Other
P0184,Playground,12,5000.0,Other
P0184,Commercial Furniture,5,150.0,Other
P0185,Playground,10,5000.0,Other
P0185,Handicapped Playground,1,95000.0,Other
P0185,Fencing Supplies and Labor,3,7500.0,Other
P0186,HP 11'6 Chromebook,9,220.0,Best Buy Education
P0187,Contra Bassoon,2,4500.0,Other
P0187,Standard Books,15,12.0,Amazon Business
P0187,Trips,2,500.0,Other
P0188,Daktronic GS6,7,8000.0,Other
P0188,Trip,7,400.0,Other
P0188,Noise,11,15.0,Other
P0189,HP 11'6 Chromebook,10,220.0,Best Buy Education
P0189,3D Printer,4,1500.0,MakerBot
P0190,Sound System,13,800.0,Other
P0190,Apple Ipad,4,300.0,Best Buy Education
P0190,Telescopic Gym,15,12000.0,Other
P0191,Wood Playground Equipment,8,6000.0,Other
P0191,Little Tikes Commercial Structure,1,50000.0,Other
P0192,Noise,5,15.0,Other
P0192,Telescopic Gym,4,12000.0,Other
P0192,Trip,15,400.0,Other
P0193,Leveled Bookroom,13,3500.0,Amazon Business
P0194,Little Tikes Commercial Structure,1,50000.0,Other
P0194,HP 11'6 Chromebook,2,220.0,Best Buy Education
P0195,Sound System,1,800.0,Other
P0196,Daktronic GS6,13,8000.0,Other
P0197,Leveled Bookroom,6,3500.0,Amazon Business
P0197,Telescopic Gym,1,12000.0,Other
P0197,10 Alpha,11,50.0,Other
P0198,Kids Stay N Play Ball,8,20.0,Lakeshore Learning Materials
P0198,HP 11'6 Chromebook,5,220.0,Best Buy Education
P0198,Kids Stay N Play Ball,8,20.0,Lakeshore Learning Materials
P0199,Kids Stay N Play Ball,4,20.0,Lakeshore Learning Materials
P0199,Trip,4,400.0,Other
P0200,Privacy Partition,2,10.0,AKJ Education
P0201,Leveled Bookroom,4,3500.0,Amazon Business
P0202,3D Printer,7,1500.0,MakerBot
P0203,Telescopic Gym,7,12000.0,Other
P0204,Privacy Partition,9,10.0,AKJ Education
P0204,Handicapped Playground,1,95000.0,Other
P0205,Noise,4,15.0,Other
P0205,Apple Ipad,8,300.0,Best Buy Education
P0206,Fencing Supplies and Labor,3,7500.0,Other
P0206,Handicapped Playground,1,95000.0,Other
P0206,Kids Stay N Play Ball,3,20.0,Lakeshore Learning Materials
P0207,Sound System,2,800.0,Other
P0208,Playground,1,5000.0,Other
P0208,Markers,10,5.0,Amazon Business
P0209,Apple Ipad,7,300.0,Best Buy Education
P0210,Telescopic Gym,9,12000.0,Other
P0210,Daktronic GS6,10,8000.0,Other
P0211,Trips,13,500.0,Other
P0211,Handicapped Playground,1,95000.0,Other
P0212,HP Chromebook,1,200.0,Best Buy Education
P0212,Sound System,8,800.0,Other
P0212,Soft Seats,3,15.0,Lakeshore Learning Materials
P0213,Standard Books,8,12.0,Amazon Business
P0213,Daktronic GS6,2,8000.0,Other
P0214,Commercial Furniture,15,150.0,Other
P0214,HP 11'6 Chromebook,11,220.0,Best Buy Education
P0215,Kids Stay N Play Ball,4,20.0,Lakeshore Learning Materials
P0216,Privacy Partition,1,10.0,AKJ Education
P0216,HP 11'6 Chromebook,5,220.0,Best Buy Education
P0216,Contra Bassoon,14,4500.0,Other
P0217,HP Chromebook,7,200.0,Best Buy Education
P0217,Apple Ipad,3,300.0,Best Buy Education
P0217,Standard Books,15,12.0,Amazon Business
P0218,Playground,14,5000.0,Other
P0218,HP 11'6 Chromebook,12,220.0,Best Buy Education
P0218,3D Printer,1,1500.0,MakerBot
P0219,Fencing Supplies and Labor,14,7500.0,Other
P0220,Markers,13,5.0,Amazon Business
P0221,Handicapped Playground,1,95000.0,Other
P0221,3D Printer,11,1500.0,MakerBot
P0222,HP 11'6 Chromebook,1,220.0,Best Buy Education
P0223,Wood Playground Equipment,12,6000.0,Other
P0224,Daktronic GS6,14,8000.0,Other
P0224,Standard Books,14,12.0,Amazon Business
P0225,Playground with Playsystem,5,25000.0,Other
P0225,HP Chromebook,5,200.0,Best Buy Education
P0226,Markers,6,5.0,Amazon Business
P0226,Trips,6,500.0,Other
P0227,HP Chromebook,5,200.0,Best Buy Education
P0228,Black write and wipe markers ,6,6.0,Amazon Business
P0228,Leveled Bookroom,13,3500.0,Amazon Business
P0229,Markers,9,5.0,Amazon Business
P0230,3D Printer,11,1500.0,MakerBot
P0230,Markers,1,5.0,Amazon Business
P0231,Standard Books,3,12.0,Amazon Business
P0231,Daktronic GS6,7,8000.0,Other
P0231,Little Tikes Commercial Structure,1,50000.0,Other
P0232,Noise,7,15.0,Other
P0233,Daktronic GS6,10,8000.0,Other
P0234,Noise,12,15.0,Other
P0235,Standard Books,11,12.0,Amazon Business
P0235,Apple Ipad,2,300.0,Best Buy Education
P0235,Playground,9,5000.0,Other
P0236,Kids Stay N Play Ball,2,20.0,Lakeshore Learning Materials
P0236,Wood Playground Equipment,7,6000.0,Other
P0237,Contra Bassoon,2,4500.0,Other
P0238,Markers,4,5.0,Amazon Business
P0239,3D Printer,12,1500.0,MakerBot
P0239,Fencing Supplies and Labor,12,7500.0,Other
P0239,Kids Stay N Play Ball,3,20.0,Lakeshore Learning Materials
P0240,Wood Playground Equipment,1,6000.0,Other
P0240,Noise,6,15.0,Other
P0240,Contra Bassoon,11,4500.0,Other
P0241,Markers,15,5.0,Amazon Business
P0242,Black write and wipe markers ,3,6.0,Amazon Business
P0242,HP 11'6 Chromebook,7,220.0,Best Buy Education
P0243,Playground,10,5000.0,Other
P0243,Commercial Furniture,10,150.0,Other
P0243,Playground,9,5000.0,Other
P0244,HP Chromebook,3,200.0,Best Buy Education
P0245,Black write and wipe markers ,15,6.0,Amazon Business
P0246,Wood Playground Equipment,9,6000.0,Other
P0246,Fencing Supplies and Labor,1,7500.0,Other
P0246,3D Printer,15,1500.0,MakerBot
P0247,Privacy Partition,14,10.0,AKJ Education
P0247,Sound System,12,800.0,Other
P0248,3D Printer,2,1500.0,MakerBot
P0249,Noise,10,15.0,Other
P0249,Contra Bassoon,12,4500.0,Other
P0249,Sound System,14,800.0,Other
P0250,Black write and wipe markers ,8,6.0,Amazon Business
P0251,Fencing Supplies and Labor,2,7500.0,Other
P0251,HP 11'6 Chromebook,4,220.0,Best Buy Education
P0251,Telescopic Gym,13,12000.0,Other
P0252,Soft Seats,7,15.0,Lakeshore Learning Materials
P0252,Sound System,9,800.0,Other
P0253,Privacy Partition,8,10.0,AKJ Education
P0253,Standard Books,10,12.0,Amazon Business
P0254,Markers,13,5.0,Amazon Business
P0254,Markers,8,5.0,Amazon Business
P0254,Little Tikes Commercial Structure,1,50000.0,Other
P0255,Little Tikes Commercial Structure,1,50000.0,Other
P0255,Playground,5,5000.0,Other
P0256,Noise,14,15.0,Other
P0256,Leveled Bookroom,1,3500.0,Amazon Business
P0256,Handicapped Playground,1,95000.0,Other
P0257,Privacy Partition,6,10.0,AKJ Education
P0257,Wood Playground Equipment,14,6000.0,Other
P0258,Kids Stay N Play Ball,2,20.0,Lakeshore Learning Materials
P0258,Telescopic Gym,2,12000.0,Other
P0259,Markers,8,5.0,Amazon Business
P0259,Wood Playground Equipment,1,6000.0,Other
P0259,Telescopic Gym,15,12000.0,Other
P0260,Playground,4,5000.0,Other
P0260,Leveled Bookroom,1,3500.0,Amazon Business
P0260,Noise,1,15.0,Other
P0261,HP 11'6 Chromebook,12,220.0,Best Buy Education
P0261,Apple Ipad,10,300.0,Best Buy Education
P0262,Soft Seats,15,15.0,Lakeshore Learning Materials
P0262,Daktronic GS6,11,8000.0,Other
P0263,Standard Books,14,12.0,Amazon Business
P0263,HP 11'6 Chromebook,11,220.0,Best Buy Education
P0264,Black write and wipe markers ,5,6.0,Amazon Business
P0264,Daktronic GS6,11,8000.0,Other
P0264,Telescopic Gym,4,12000.0,Other
P0265,HP Chromebook,13,200.0,Best Buy Education
P0265,Fencing Supplies and Labor,7,7500.0,Other
P0265,Sound System,4,800.0,Other
P0266,Telescopic Gym,11,12000.0,Other
P0266,Daktronic GS6,3,8000.0,Other
P0267,Playground with Playsystem,14,25000.0,Other
P0268,Trip,3,400.0,Other
P0268,Commercial Furniture,12,150.0,Other
P0269,Soft Seats,9,15.0,Lakeshore Learning Materials
P0269,Daktronic GS6,12,8000.0,Other
P0270,HP 11'6 Chromebook,14,220.0,Best Buy Education
P0270,Apple Ipad,11,300.0,Best Buy Education
P0270,Markers,3,5.0,Amazon Business
P0271,Markers,13,5.0,Amazon Business
P0272,Contra Bassoon,4,4500.0,Other
P0272,Trip,4,400.0,Other
P0272,Apple Ipad,1,300.0,Best Buy Education
P0273,Handicapped Playground,1,95000.0,Other
P0273,Trips,6,500.0,Other
P0274,Kids Stay N Play Ball,14,20.0,Lakeshore Learning Materials
P0274,Markers,5,5.0,Amazon Business
P0274,Apple Ipad,2,300.0,Best Buy Education
P0275,Little Tikes Commercial Structure,1,50000.0,Other
P0275,Playground,3,5000.0,Other
P0275,3D Printer,6,1500.0,MakerBot
P0276,Wood Playground Equipment,7,6000.0,Other
P0277,Handicapped Playground,1,95000.0,Other
P0277,10 Alpha,13,50.0,Other
P0278,Soft Seats,12,15.0,Lakeshore Learning Materials
P0278,HP Chromebook,13,200.0,Best Buy Education
P0279,Daktronic GS6,5,8000.0,Other
P0280,Soft Seats,10,15.0,Lakeshore Learning Materials
P0280,Standard Books,8,12.0,Amazon Business
P0281,Little Tikes Commercial Structure,1,50000.0,Other
P0282,Black write and wipe markers ,11,6.0,Amazon Business
P0283,Soft Seats,8,15.0,Lakeshore Learning Materials
P0283,Soft Seats,9,15.0,Lakeshore Learning Materials
P0283,Wood Playground Equipment,7,6000.0,Other
P0284,HP Chromebook,15,200.0,Best Buy Education
P0285,10 Alpha,14,50.0,Other
P0285,Contra Bassoon,11,4500.0,Other
P0286,Leveled Bookroom,2,3500.0,Amazon Business
P0287,Telescopic Gym,3,12000.0,Other
P0287,Daktronic GS6,4,8000.0,Other
P0288,Little Tikes Commercial Structure,1,50000.0,Other
P0288,Wood Playground Equipment,7,6000.0,Other
P0288,Black write and wipe markers ,3,6.0,Amazon Business
P0289,Soft Seats,3,15.0,Lakeshore Learning Materials
P0289,3D Printer,4,1500.0,MakerBot
P0289,Leveled Bookroom,3,3500.0,Amazon Business
