Donor ID,Donor City,Donor State,Donor Is Teacher,Donor Zip
D0059,Atlanta,Georgia,Yes,87262
D0060,Cleveland,Ohio,Yes,25979
D0061,Jacksonville,Florida,No,14135
D0062,Dallas,Texas,No,57658
D0063,Charlotte,North Carolina,No,44161
D0064,Columbus,Ohio,No,60932
D0065,Philadelphia,Pennsylvania,Yes,46862
D0066,Charlotte,North Carolina,No,89522
D0067,Rochester,New York,Yes,28144
D0068,Buffalo,New York,No,82195
D0069,Los Angeles,California,No,12434
D0070,Grand Rapids,Michigan,No,32256
D0071,Charlotte,North Carolina,No,74788
D0072,Columbus,Ohio,Yes,71940
D0073,San Antonio,Texas,Yes,38614
D0074,Pittsburgh,Pennsylvania,No,10681
D0075,Jacksonville,Florida,Yes,36226
D0076,Houston,Texas,No,20344
D0077,Columbus,Ohio,No,36688
D0078,Augusta,Georgia,Yes,20969
D0079,Atlanta,Georgia,No,89224
D0080,Dallas,Texas,No,33241
D0081,London,others,No,15792
D0082,Sacramento,California,Yes,75268
D0083,Atlanta,Georgia,Yes,19777
D0084,New York,New York,Yes,15156
D0085,Philadelphia,Pennsylvania,No,80198
D0086,Jacksonville,Florida,Yes,71899
D0087,New York,New York,Yes,51947
D0088,Charlotte,North Carolina,No,73092
D0089,Pittsburgh,Pennsylvania,No,20721
D0090,Toronto,others,Yes,51956
D0091,Detroit,Michigan,No,27018
D0092,Miami,Florida,Yes,27724
D0093,Miami,Florida,Yes,67289
D0094,Grand Rapids,Michigan,No,59182
D0095,Toronto,others,No,16593
D0096,San Francisco,California,No,46324
D0097,Raleigh,North Carolina,No,81899
D0098,Pittsburgh,Pennsylvania,No,77009
D0099,London,others,Yes,82988
D0100,Detroit,Michigan,No,59122
D0101,London,others,Yes,99306
D0102,San Antonio,Texas,Yes,72946
D0103,Columbus,Ohio,Yes,29836
D0104,Charlotte,North Carolina,No,93577
D0105,Chicago,Illinois,Yes,78746
D0106,Aurora,Illinois,Yes,84255
D0107,Brooklyn,New York,Yes,97732
D0108,Buffalo,New York,Yes,86450
D0109,Columbus,Ohio,Yes,76236
D0110,Atlanta,Georgia,Yes,59632
D0111,Charlotte,North Carolina,No,19977
D0112,Aurora,Illinois,No,28187
D0113,Toronto,others,Yes,94864
D0114,Brooklyn,New York,No,21723
D0115,Chicago,Illinois,Yes,23527
D0116,Vancouver,others,No,65081
D0117,Jacksonville,Florida,Yes,37701
D0118,Cleveland,Ohio,Yes,87452
D0119,Aurora,Illinois,Yes,21775
D0120,Augusta,Georgia,No,16315
D0121,Dallas,Texas,No,45399
D0122,Detroit,Michigan,Yes,82143
D0123,Oakland,California,Yes,85911
D0124,Vancouver,others,No,87255
D0125,Toronto,others,No,35209
D0126,Jacksonville,Florida,Yes,14987
D0127,Cleveland,Ohio,Yes,84573
D0128,Brooklyn,New York,No,87173
D0129,Augusta,Georgia,Yes,96143
D0130,Orlando,Florida,No,34943
D0131,Chicago,Illinois,Yes,70110
D0132,Raleigh,North Carolina,Yes,64753
D0133,Tampa,Florida,No,12339
D0134,San Diego,California,No,65109
D0135,Columbus,Ohio,Yes,14702
D0136,Dallas,Texas,No,62029
D0137,Vancouver,others,Yes,42974
D0138,Columbus,Ohio,Yes,97209
D0139,Aurora,Illinois,No,97106
D0140,Charlotte,North Carolina,No,65965
D0141,Vancouver,others,Yes,61118
D0142,Grand Rapids,Michigan,No,50882
D0143,Augusta,Georgia,Yes,11611
D0144,Sacramento,California,No,38592
D0145,London,others,Yes,93354
D0146,Vancouver,others,Yes,81782
D0147,Houston,Texas,No,89856
D0148,Charlotte,North Carolina,Yes,92058
D0149,Miami,Florida,Yes,41642
D0150,Charlotte,North Carolina,No,56658
D0151,San Jose,California,No,41340
D0152,Detroit,Michigan,No,13999
D0153,Vancouver,others,No,19290
D0154,Philadelphia,Pennsylvania,Yes,45483
D0155,Brooklyn,New York,No,20039
D0156,Pittsburgh,Pennsylvania,No,52501
D0157,Charlotte,North Carolina,Yes,60643
D0158,Rochester,New York,No,19319
D0159,Pittsburgh,Pennsylvania,Yes,70240
D0160,Augusta,Georgia,Yes,49512
D0161,Cleveland,Ohio,Yes,54883
D0162,Augusta,Georgia,No,69422
D0163,Pittsburgh,Pennsylvania,No,30730
D0164,Toronto,others,No,41399
D0165,San Diego,California,Yes,99118
D0166,Jacksonville,Florida,Yes,75410
D0167,Augusta,Georgia,Yes,60232
D0168,Rockford,Illinois,No,78761
D0169,Detroit,Michigan,Yes,86823
D0170,Orlando,Florida,No,19237
D0171,San Antonio,Texas,Yes,11279
D0172,Rockford,Illinois,Yes,56690
D0173,Detroit,Michigan,No,72075
D0174,Rochester,New York,Yes,51636
D0175,Miami,Florida,No,28706
D0176,Brooklyn,New York,No,51797
D0177,Dallas,Texas,No,91172
D0178,Buffalo,New York,Yes,59159
D0179,Miami,Florida,Yes,51176
D0180,Aurora,Illinois,Yes,39849
D0181,Los Angeles,California,Yes,40228
D0182,Detroit,Michigan,No,44845
D0183,Orlando,Florida,Yes,45276
D0184,Rochester,New York,Yes,61086
D0185,Miami,Florida,No,70456
D0186,Grand Rapids,Michigan,Yes,40179
D0187,Philadelphia,Pennsylvania,Yes,61557
D0188,Brooklyn,New York,Yes,84873
D0189,Pittsburgh,Pennsylvania,No,90043
D0190,Detroit,Michigan,No,48988
D0191,Augusta,Georgia,No,53248
D0192,Atlanta,Georgia,No,89870
D0193,Buffalo,New York,No,99849
D0194,New York,New York,Yes,69688
D0195,Pittsburgh,Pennsylvania,No,61633
D0196,Columbus,Ohio,Yes,30324
D0197,Detroit,Michigan,No,81719
D0198,Pittsburgh,Pennsylvania,No,25442
D0199,Raleigh,North Carolina,No,58518
D0200,Jacksonville,Florida,Yes,14035
D0201,Vancouver,others,No,97191
D0202,London,others,No,60963
D0203,Atlanta,Georgia,Yes,56676
D0204,Vancouver,others,Yes,62187
D0205,Jacksonville,Florida,Yes,49557
D0206,Dallas,Texas,Yes,58695
D0207,Columbus,Ohio,Yes,51580
D0208,Jacksonville,Florida,Yes,44365
D0209,Atlanta,Georgia,Yes,67911
D0210,Detroit,Michigan,Yes,48074
D0211,Detroit,Michigan,No,98430
D0212,Grand Rapids,Michigan,No,74536
D0213,San Francisco,California,No,92161
D0214,London,others,Yes,43393
D0215,Brooklyn,New York,Yes,51121
D0216,Miami,Florida,Yes,90022
D0217,Vancouver,others,No,15548
D0218,Aurora,Illinois,Yes,49971
D0219,Rockford,Illinois,Yes,76777
D0220,Atlanta,Georgia,No,86920
D0221,Brooklyn,New York,No,27338
D0222,New York,New York,Yes,92717
D0223,Cleveland,Ohio,No,38100
D0224,Philadelphia,Pennsylvania,No,29593
D0225,London,others,Yes,67378
D0226,San Francisco,California,Yes,26248
D0227,Tampa,Florida,Yes,42209
D0228,New York,New York,No,85532
D0229,Rockford,Illinois,Yes,26263
D0230,Atlanta,Georgia,No,61571
D0231,Cleveland,Ohio,No,32629
D0232,Pittsburgh,Pennsylvania,Yes,50802
D0233,Cleveland,Ohio,Yes,98737
D0234,Chicago,Illinois,Yes,23008
D0235,San Francisco,California,No,80907
D0236,Buffalo,New York,No,33360
D0237,Pittsburgh,Pennsylvania,No,54777
D0238,Miami,Florida,No,68446
D0239,Vancouver,others,No,39402
D0240,Toronto,others,No,87150
D0241,Grand Rapids,Michigan,Yes,83240
D0242,Houston,Texas,Yes,22842
D0243,London,others,Yes,19402
D0244,Augusta,Georgia,Yes,10435
D0245,Raleigh,North Carolina,Yes,53527
D0246,Augusta,Georgia,Yes,51336
D0247,Detroit,Michigan,No,74185
D0248,Atlanta,Georgia,Yes,60095
D0249,Pittsburgh,Pennsylvania,Yes,91365
D0250,London,others,Yes,46564
D0251,Pittsburgh,Pennsylvania,No,41580
D0252,Philadelphia,Pennsylvania,No,24633
D0253,Detroit,Michigan,No,80058
D0254,Atlanta,Georgia,No,51771
D0255,Sacramento,California,No,30112
D0256,London,others,No,48508
D0257,Pittsburgh,Pennsylvania,No,90110
D0258,Charlotte,North Carolina,Yes,87712
D0259,London,others,Yes,42642
D0260,Grand Rapids,Michigan,Yes,43703
D0261,Detroit,Michigan,Yes,66953
D0262,Atlanta,Georgia,Yes,84518
D0263,Aurora,Illinois,No,76537
D0264,Rochester,New York,No,25309
D0265,Raleigh,North Carolina,Yes,85083
D0266,Philadelphia,Pennsylvania,Yes,29613
D0267,Los Angeles,California,No,17565
D0268,Oakland,California,No,93325
D0269,Brooklyn,New York,Yes,23041
D0270,Charlotte,North Carolina,Yes,25403
D0271,Atlanta,Georgia,Yes,79758
D0272,Oakland,California,Yes,35638
D0273,San Francisco,California,No,34759
D0274,Pittsburgh,Pennsylvania,No,50689
D0275,Atlanta,Georgia,Yes,89099
D0276,Grand Rapids,Michigan,No,21739
D0277,Vancouver,others,Yes,60603
D0278,Brooklyn,New York,No,37150
D0279,San Francisco,California,Yes,43540
D0280,Pittsburgh,Pennsylvania,No,39180
D0281,Charlotte,North Carolina,Yes,56133
D0282,Houston,Texas,No,77843
D0283,Charlotte,North Carolina,Yes,98787
D0284,New York,New York,No,60277
D0285,San Diego,California,Yes,89925
D0286,Charlotte,North Carolina,No,42731
D0287,Pittsburgh,Pennsylvania,No,60447
D0288,Brooklyn,New York,Yes,19476
D0289,San Diego,California,No,15842
D0290,London,others,No,49062
D0291,Philadelphia,Pennsylvania,Yes,43552
D0292,Jacksonville,Florida,No,49471
D0293,Columbus,Ohio,No,49021
D0294,Jacksonville,Florida,Yes,26638
D0295,Tampa,Florida,Yes,77233
D0296,Orlando,Florida,No,17026
D0297,Miami,Florida,No,73989
D0298,Detroit,Michigan,Yes,96347
D0299,Philadelphia,Pennsylvania,Yes,55156
D0300,Oakland,California,No,51858
DON_ALL_00000,AugCity_Alabama,Alabama,Yes,12345
DON_ALL_00001,AugCity_Alabama,Alabama,No,12345
DON_ALL_00002,AugCity_Alabama,Alabama,Yes,12345
DON_ALL_00003,AugCity_Alabama,Alabama,No,12345
DON_ALL_00004,AugCity_Alabama,Alabama,Yes,12345
DON_ALL_00005,AugCity_Alabama,Alabama,No,12345
DON_ALL_00006,AugCity_Alabama,Alabama,No,12345
DON_ALL_00007,AugCity_Alabama,Alabama,Yes,12345
DON_ALL_00008,AugCity_Alabama,Alabama,Yes,12345
DON_ALL_00009,AugCity_Alabama,Alabama,No,12345
DON_ALL_00010,AugCity_Alabama,Alabama,Yes,12345
DON_ALL_00011,AugCity_Alabama,Alabama,No,12345
DON_ALL_00012,AugCity_Alabama,Alabama,No,12345
DON_ALL_00013,AugCity_Alabama,Alabama,Yes,12345
DON_ALL_00014,AugCity_Alabama,Alabama,No,12345
DON_ALL_00015,AugCity_Alabama,Alabama,No,12345
DON_ALL_00016,AugCity_Alaska,Alaska,No,12345
DON_ALL_00017,AugCity_Alaska,Alaska,Yes,12345
DON_ALL_00018,AugCity_Alaska,Alaska,Yes,12345
DON_ALL_00019,AugCity_Alaska,Alaska,Yes,12345
DON_ALL_00020,AugCity_Alaska,Alaska,No,12345
DON_ALL_00021,AugCity_Alaska,Alaska,Yes,12345
DON_ALL_00022,AugCity_Alaska,Alaska,No,12345
DON_ALL_00023,AugCity_Alaska,Alaska,Yes,12345
DON_ALL_00024,AugCity_Alaska,Alaska,Yes,12345
DON_ALL_00025,AugCity_Alaska,Alaska,No,12345
DON_ALL_00026,AugCity_Alaska,Alaska,Yes,12345
DON_ALL_00027,AugCity_Alaska,Alaska,Yes,12345
DON_ALL_00028,AugCity_Alaska,Alaska,Yes,12345
DON_ALL_00029,AugCity_Alaska,Alaska,No,12345
DON_ALL_00030,AugCity_Alaska,Alaska,No,12345
DON_ALL_00031,AugCity_Alaska,Alaska,No,12345
DON_ALL_00032,AugCity_Alaska,Alaska,Yes,12345
DON_ALL_00033,AugCity_Alaska,Alaska,No,12345
DON_ALL_00034,AugCity_Arizona,Arizona,No,12345
DON_ALL_00035,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00036,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00037,AugCity_Arizona,Arizona,No,12345
DON_ALL_00038,AugCity_Arizona,Arizona,No,12345
DON_ALL_00039,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00040,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00041,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00042,AugCity_Arizona,Arizona,No,12345
DON_ALL_00043,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00044,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00045,AugCity_Arizona,Arizona,No,12345
DON_ALL_00046,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00047,AugCity_Arizona,Arizona,No,12345
DON_ALL_00048,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00049,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00050,AugCity_Arizona,Arizona,No,12345
DON_ALL_00051,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00052,AugCity_Arizona,Arizona,No,12345
DON_ALL_00053,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00054,AugCity_Arizona,Arizona,No,12345
DON_ALL_00055,AugCity_Arizona,Arizona,No,12345
DON_ALL_00056,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00057,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00058,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00059,AugCity_Arizona,Arizona,No,12345
DON_ALL_00060,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00061,AugCity_Arizona,Arizona,No,12345
DON_ALL_00062,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00063,AugCity_Arizona,Arizona,No,12345
DON_ALL_00064,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00065,AugCity_Arizona,Arizona,No,12345
DON_ALL_00066,AugCity_Arizona,Arizona,No,12345
DON_ALL_00067,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00068,AugCity_Arizona,Arizona,No,12345
DON_ALL_00069,AugCity_Arizona,Arizona,No,12345
DON_ALL_00070,AugCity_Arizona,Arizona,Yes,12345
DON_ALL_00071,AugCity_Arkansas,Arkansas,Yes,12345
DON_ALL_00072,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00073,AugCity_Arkansas,Arkansas,Yes,12345
DON_ALL_00074,AugCity_Arkansas,Arkansas,Yes,12345
DON_ALL_00075,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00076,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00077,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00078,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00079,AugCity_Arkansas,Arkansas,Yes,12345
DON_ALL_00080,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00081,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00082,AugCity_Arkansas,Arkansas,Yes,12345
DON_ALL_00083,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00084,AugCity_Arkansas,Arkansas,Yes,12345
DON_ALL_00085,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00086,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00087,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00088,AugCity_Arkansas,Arkansas,Yes,12345
DON_ALL_00089,AugCity_Arkansas,Arkansas,Yes,12345
DON_ALL_00090,AugCity_Arkansas,Arkansas,Yes,12345
DON_ALL_00091,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00092,AugCity_Arkansas,Arkansas,Yes,12345
DON_ALL_00093,AugCity_Arkansas,Arkansas,Yes,12345
DON_ALL_00094,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00095,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00096,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00097,AugCity_Arkansas,Arkansas,Yes,12345
DON_ALL_00098,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00099,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00100,AugCity_Arkansas,Arkansas,Yes,12345
DON_ALL_00101,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00102,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00103,AugCity_Arkansas,Arkansas,Yes,12345
DON_ALL_00104,AugCity_Arkansas,Arkansas,Yes,12345
DON_ALL_00105,AugCity_Arkansas,Arkansas,No,12345
DON_ALL_00106,AugCity_California,California,No,12345
DON_ALL_00107,AugCity_California,California,Yes,12345
DON_ALL_00108,AugCity_California,California,Yes,12345
DON_ALL_00109,AugCity_California,California,Yes,12345
DON_ALL_00110,AugCity_California,California,No,12345
DON_ALL_00111,AugCity_California,California,Yes,12345
DON_ALL_00112,AugCity_California,California,Yes,12345
DON_ALL_00113,AugCity_California,California,No,12345
DON_ALL_00114,AugCity_California,California,No,12345
DON_ALL_00115,AugCity_California,California,Yes,12345
DON_ALL_00116,AugCity_California,California,Yes,12345
DON_ALL_00117,AugCity_California,California,No,12345
DON_ALL_00118,AugCity_California,California,No,12345
DON_ALL_00119,AugCity_California,California,No,12345
DON_ALL_00120,AugCity_California,California,No,12345
DON_ALL_00121,AugCity_California,California,Yes,12345
DON_ALL_00122,AugCity_California,California,Yes,12345
DON_ALL_00123,AugCity_California,California,Yes,12345
DON_ALL_00124,AugCity_California,California,Yes,12345
DON_ALL_00125,AugCity_California,California,No,12345
DON_ALL_00126,AugCity_California,California,Yes,12345
DON_ALL_00127,AugCity_California,California,No,12345
DON_ALL_00128,AugCity_California,California,No,12345
DON_ALL_00129,AugCity_California,California,No,12345
DON_ALL_00130,AugCity_California,California,Yes,12345
DON_ALL_00131,AugCity_California,California,No,12345
DON_ALL_00132,AugCity_California,California,Yes,12345
DON_ALL_00133,AugCity_California,California,No,12345
DON_ALL_00134,AugCity_California,California,Yes,12345
DON_ALL_00135,AugCity_California,California,No,12345
DON_ALL_00136,AugCity_California,California,Yes,12345
DON_ALL_00137,AugCity_California,California,No,12345
DON_ALL_00138,AugCity_California,California,Yes,12345
DON_ALL_00139,AugCity_California,California,Yes,12345
DON_ALL_00140,AugCity_California,California,Yes,12345
DON_ALL_00141,AugCity_California,California,No,12345
DON_ALL_00142,AugCity_California,California,Yes,12345
DON_ALL_00143,AugCity_California,California,No,12345
DON_ALL_00144,AugCity_California,California,Yes,12345
DON_ALL_00145,AugCity_California,California,Yes,12345
DON_ALL_00146,AugCity_California,California,No,12345
DON_ALL_00147,AugCity_California,California,Yes,12345
DON_ALL_00148,AugCity_Colorado,Colorado,Yes,12345
DON_ALL_00149,AugCity_Colorado,Colorado,No,12345
DON_ALL_00150,AugCity_Colorado,Colorado,Yes,12345
DON_ALL_00151,AugCity_Colorado,Colorado,No,12345
DON_ALL_00152,AugCity_Colorado,Colorado,No,12345
DON_ALL_00153,AugCity_Colorado,Colorado,No,12345
DON_ALL_00154,AugCity_Colorado,Colorado,No,12345
DON_ALL_00155,AugCity_Colorado,Colorado,No,12345
DON_ALL_00156,AugCity_Colorado,Colorado,No,12345
DON_ALL_00157,AugCity_Colorado,Colorado,No,12345
DON_ALL_00158,AugCity_Colorado,Colorado,No,12345
DON_ALL_00159,AugCity_Colorado,Colorado,No,12345
DON_ALL_00160,AugCity_Colorado,Colorado,Yes,12345
DON_ALL_00161,AugCity_Colorado,Colorado,Yes,12345
DON_ALL_00162,AugCity_Colorado,Colorado,No,12345
DON_ALL_00163,AugCity_Colorado,Colorado,No,12345
DON_ALL_00164,AugCity_Colorado,Colorado,No,12345
DON_ALL_00165,AugCity_Colorado,Colorado,No,12345
DON_ALL_00166,AugCity_Colorado,Colorado,No,12345
DON_ALL_00167,AugCity_Colorado,Colorado,No,12345
DON_ALL_00168,AugCity_Colorado,Colorado,No,12345
DON_ALL_00169,AugCity_Colorado,Colorado,Yes,12345
DON_ALL_00170,AugCity_Colorado,Colorado,No,12345
DON_ALL_00171,AugCity_Colorado,Colorado,No,12345
DON_ALL_00172,AugCity_Colorado,Colorado,No,12345
DON_ALL_00173,AugCity_Colorado,Colorado,No,12345
DON_ALL_00174,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00175,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00176,AugCity_Connecticut,Connecticut,No,12345
DON_ALL_00177,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00178,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00179,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00180,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00181,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00182,AugCity_Connecticut,Connecticut,No,12345
DON_ALL_00183,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00184,AugCity_Connecticut,Connecticut,No,12345
DON_ALL_00185,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00186,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00187,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00188,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00189,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00190,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00191,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00192,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00193,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00194,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00195,AugCity_Connecticut,Connecticut,No,12345
DON_ALL_00196,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00197,AugCity_Connecticut,Connecticut,No,12345
DON_ALL_00198,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00199,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00200,AugCity_Connecticut,Connecticut,No,12345
DON_ALL_00201,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00202,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00203,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00204,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00205,AugCity_Connecticut,Connecticut,No,12345
DON_ALL_00206,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00207,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00208,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00209,AugCity_Connecticut,Connecticut,Yes,12345
DON_ALL_00210,AugCity_Connecticut,Connecticut,No,12345
DON_ALL_00211,AugCity_Connecticut,Connecticut,No,12345
DON_ALL_00212,AugCity_Connecticut,Connecticut,No,12345
DON_ALL_00213,AugCity_Connecticut,Connecticut,No,12345
DON_ALL_00214,AugCity_Delaware,Delaware,No,12345
DON_ALL_00215,AugCity_Delaware,Delaware,Yes,12345
DON_ALL_00216,AugCity_Delaware,Delaware,Yes,12345
DON_ALL_00217,AugCity_Delaware,Delaware,Yes,12345
DON_ALL_00218,AugCity_Delaware,Delaware,No,12345
DON_ALL_00219,AugCity_Delaware,Delaware,No,12345
DON_ALL_00220,AugCity_Delaware,Delaware,Yes,12345
DON_ALL_00221,AugCity_Delaware,Delaware,No,12345
DON_ALL_00222,AugCity_Delaware,Delaware,Yes,12345
DON_ALL_00223,AugCity_Delaware,Delaware,Yes,12345
DON_ALL_00224,AugCity_Delaware,Delaware,No,12345
DON_ALL_00225,AugCity_Delaware,Delaware,No,12345
DON_ALL_00226,AugCity_Delaware,Delaware,Yes,12345
DON_ALL_00227,AugCity_Delaware,Delaware,No,12345
DON_ALL_00228,AugCity_Delaware,Delaware,No,12345
DON_ALL_00229,AugCity_Delaware,Delaware,No,12345
DON_ALL_00230,AugCity_Delaware,Delaware,No,12345
DON_ALL_00231,AugCity_Delaware,Delaware,Yes,12345
DON_ALL_00232,AugCity_Delaware,Delaware,Yes,12345
DON_ALL_00233,AugCity_Delaware,Delaware,No,12345
DON_ALL_00234,AugCity_District of Columbia,District of Columbia,No,12345
DON_ALL_00235,AugCity_District of Columbia,District of Columbia,No,12345
DON_ALL_00236,AugCity_District of Columbia,District of Columbia,No,12345
DON_ALL_00237,AugCity_District of Columbia,District of Columbia,No,12345
DON_ALL_00238,AugCity_District of Columbia,District of Columbia,No,12345
DON_ALL_00239,AugCity_District of Columbia,District of Columbia,No,12345
DON_ALL_00240,AugCity_District of Columbia,District of Columbia,Yes,12345
DON_ALL_00241,AugCity_District of Columbia,District of Columbia,Yes,12345
DON_ALL_00242,AugCity_District of Columbia,District of Columbia,Yes,12345
DON_ALL_00243,AugCity_District of Columbia,District of Columbia,No,12345
DON_ALL_00244,AugCity_District of Columbia,District of Columbia,No,12345
DON_ALL_00245,AugCity_District of Columbia,District of Columbia,Yes,12345
DON_ALL_00246,AugCity_District of Columbia,District of Columbia,Yes,12345
DON_ALL_00247,AugCity_District of Columbia,District of Columbia,Yes,12345
DON_ALL_00248,AugCity_District of Columbia,District of Columbia,Yes,12345
DON_ALL_00249,AugCity_District of Columbia,District of Columbia,Yes,12345
DON_ALL_00250,AugCity_District of Columbia,District of Columbia,No,12345
DON_ALL_00251,AugCity_District of Columbia,District of Columbia,No,12345
DON_ALL_00252,AugCity_District of Columbia,District of Columbia,No,12345
DON_ALL_00253,AugCity_Florida,Florida,Yes,12345
DON_ALL_00254,AugCity_Florida,Florida,No,12345
DON_ALL_00255,AugCity_Florida,Florida,No,12345
