School ID,School Name,School Metro Type,School Percentage Free Lunch,School State,School Zip,School City,School County,School District
S0065,Washington Elementary School,suburban,36.73,CA,93932,Sacramento,County S0065,District S0065
S0066,Martin Luther King Elementry School,suburban,91.5,FL,76041,Tampa,County S0066,District S0066
S0067,Valley View Elementary School,town,35.36,NY,28164,Rochester,County S0067,District S0067
S0068,Washington Elementary School,town,78.32,OH,68166,Columbus,County S0068,District S0068
S0069,Deerfield Elementry School,suburban,10.07,CA,29726,Sacramento,County S0069,District S0069
S0070,Riverside High School,rural,42.77,NC,89201,Charlotte,County S0070,District S0070
S0071,Prairie View Elementry School,rural,10.66,NY,17729,Brooklyn,County S0071,District S0071
S0072,Hillcrest Middle School,town,72.21,GA,69668,Atlanta,County S0072,District S0072
S0073,Oakridge Middle School,urban,60.61,NY,31281,Buffalo,County S0073,District S0073
S0074,Riverside High School,unknown,43.42,NC,21747,Greensboro,County S0074,District S0074
S0075,Jefferson High School,town,58.22,CA,75175,San Jose,County S0075,District S0075
S0076,Oakridge Middle School,urban,63.85,CA,92420,Oakland,County S0076,District S0076
S0077,Pinecrest Academy,suburban,33.37,GA,61353,Augusta,County S0077,District S0077
S0078,Martin Luther King Elementry School,town,91.16,PA,41021,Pittsburgh,County S0078,District S0078
S0079,Summit Elementary School,unknown,66.4,PA,48256,Philadelphia,County S0079,District S0079
S0080,Martin Luther King Elementry School,unknown,93.43,TX,38280,Austin,County S0080,District S0080
S0081,Lincoln Elementary School,suburban,45.94,NC,49421,Charlotte,County S0081,District S0081
S0082,Oakridge Middle School,town,74.49,NY,62470,Bronx,County S0082,District S0082
S0083,Summit Elementary School,town,71.85,CA,98575,Oakland,County S0083,District S0083
S0084,Jefferson High School,rural,69.29,TX,96726,San Antonio,County S0084,District S0084
S0085,Oakridge Middle School,suburban,39.92,IL,55137,Chicago,County S0085,District S0085
S0086,Oakridge Middle School,town,78.36,NY,63726,Queens,County S0086,District S0086
S0087,Riverside High School,unknown,36.02,MI,65680,Warren,County S0087,District S0087
S0088,Pinecrest Academy,rural,36.34,NC,93479,Raleigh,County S0088,District S0088
S0089,Washington Elementary School,town,68.97,FL,62841,Fort Lauderdale,County S0089,District S0089
S0090,Pinecrest Academy,town,35.89,NY,41184,Queens,County S0090,District S0090
S0091,Summit Elementary School,rural,57.16,PA,30637,Pittsburgh,County S0091,District S0091
S0092,Oakridge Middle School,town,37.41,IL,56627,Aurora,County S0092,District S0092
S0093,Deerfield Elementry School,town,11.8,GA,68196,Columbus,County S0093,District S0093
S0094,Washington Elementary School,suburban,60.49,IL,39081,Naperville,County S0094,District S0094
S0095,Cesar Chavez Elementry School,town,91.49,OH,33563,Cincinnati,County S0095,District S0095
S0096,Washington Elementary School,suburban,61.64,TX,81729,Dallas,County S0096,District S0096
S0097,Washington Elementary School,rural,60.02,FL,52638,Jacksonville,County S0097,District S0097
S0098,Deerfield Elementry School,rural,14.61,GA,46823,Augusta,County S0098,District S0098
S0099,Maple Grove School,suburban,58.96,OH,65161,Cleveland,County S0099,District S0099
S0100,Summit Elementary School,rural,54.66,MI,10626,Detroit,County S0100,District S0100
S0101,Jefferson High School,rural,31.71,GA,89679,Atlanta,County S0101,District S0101
S0102,Cesar Chavez Elementry School,urban,90.07,TX,52177,El Paso,County S0102,District S0102
S0103,Lincoln Elementary School,town,34.55,CA,24454,Los Angeles,County S0103,District S0103
S0104,Pinecrest Academy,unknown,31.21,NY,84804,Rochester,County S0104,District S0104
S0105,Maple Grove School,unknown,64.71,NY,75927,Buffalo,County S0105,District S0105
S0106,Jefferson High School,rural,76.18,PA,67008,Pittsburgh,County S0106,District S0106
S0107,Lincoln Elementary School,rural,65.76,CA,78039,San Jose,County S0107,District S0107
S0108,Maple Grove School,urban,38.67,FL,59588,Tampa,County S0108,District S0108
S0109,Pinecrest Academy,unknown,32.06,PA,53348,Allentown,County S0109,District S0109
S0110,Deerfield Elementry School,town,13.34,CA,58890,San Francisco,County S0110,District S0110
S0111,Martin Luther King Elementry School,rural,91.72,FL,46472,Jacksonville,County S0111,District S0111
S0112,Martin Luther King Elementry School,town,93.84,MI,47154,Detroit,County S0112,District S0112
S0113,Prairie View Elementry School,rural,10.45,OH,75238,Cincinnati,County S0113,District S0113
S0114,Cesar Chavez Elementry School,town,93.28,GA,91862,Columbus,County S0114,District S0114
S0115,Deerfield Elementry School,rural,13.64,IL,72122,Aurora,County S0115,District S0115
S0116,Jefferson High School,unknown,32.88,MI,51386,Detroit,County S0116,District S0116
S0117,Prairie View Elementry School,suburban,10.64,TX,46962,El Paso,County S0117,District S0117
S0118,Washington Elementary School,town,79.03,GA,38969,Augusta,County S0118,District S0118
S0119,Jefferson High School,town,70.92,IL,39535,Rockford,County S0119,District S0119
S0120,Deerfield Elementry School,town,14.98,PA,25369,Allentown,County S0120,District S0120
S0121,Lakeside High School,unknown,66.3,NY,95461,Buffalo,County S0121,District S0121
S0122,Summit Elementary School,unknown,56.8,CA,22211,Los Angeles,County S0122,District S0122
S0123,Valley View Elementary School,rural,45.08,TX,86386,Houston,County S0123,District S0123
S0124,Oakridge Middle School,rural,72.26,NC,73241,Charlotte,County S0124,District S0124
S0125,Martin Luther King Elementry School,urban,94.5,GA,25068,Atlanta,County S0125,District S0125
S0126,Lakeside High School,town,79.62,NC,13717,Charlotte,County S0126,District S0126
S0127,Deerfield Elementry School,town,11.41,IL,57879,Chicago,County S0127,District S0127
S0128,Hillcrest Middle School,urban,40.48,CA,74997,Los Angeles,County S0128,District S0128
S0129,Lincoln Elementary School,urban,31.23,CA,17447,Oakland,County S0129,District S0129
S0130,Cesar Chavez Elementry School,rural,90.75,NY,94139,Queens,County S0130,District S0130
S0131,Lincoln Elementary School,town,33.51,MI,43855,Warren,County S0131,District S0131
S0132,Jefferson High School,suburban,36.95,TX,24285,Austin,County S0132,District S0132
S0133,Lincoln Elementary School,urban,71.71,OH,88208,Cincinnati,County S0133,District S0133
S0134,Summit Elementary School,urban,57.96,OH,89840,Columbus,County S0134,District S0134
S0135,Deerfield Elementry School,urban,14.69,IL,42819,Naperville,County S0135,District S0135
S0136,Lakeside High School,unknown,62.31,CA,55941,San Jose,County S0136,District S0136
S0137,Hillcrest Middle School,suburban,56.89,CA,91436,Oakland,County S0137,District S0137
S0138,Cesar Chavez Elementry School,urban,91.13,MI,87720,Grand Rapids,County S0138,District S0138
S0139,Maple Grove School,suburban,44.47,PA,17305,Allentown,County S0139,District S0139
S0140,Washington Elementary School,urban,74.37,TX,61128,San Antonio,County S0140,District S0140
S0141,Martin Luther King Elementry School,unknown,93.5,PA,84492,Allentown,County S0141,District S0141
S0142,Lakeside High School,rural,79.92,NY,70443,Queens,County S0142,District S0142
S0143,Jefferson High School,unknown,37.47,OH,35060,Cincinnati,County S0143,District S0143
S0144,Valley View Elementary School,urban,40.48,TX,72195,Austin,County S0144,District S0144
S0145,Hillcrest Middle School,suburban,56.38,NY,81346,Buffalo,County S0145,District S0145
S0146,Oakridge Middle School,suburban,63.89,PA,28982,Philadelphia,County S0146,District S0146
S0147,Valley View Elementary School,town,35.83,OH,22747,Cincinnati,County S0147,District S0147
S0148,Maple Grove School,rural,37.19,TX,69799,Fort Worth,County S0148,District S0148
S0149,Hillcrest Middle School,unknown,58.84,GA,99768,Columbus,County S0149,District S0149
S0150,Lincoln Elementary School,suburban,64.0,MI,85076,Grand Rapids,County S0150,District S0150
S0151,Riverside High School,rural,49.13,NC,66256,Greensboro,County S0151,District S0151
S0152,Maple Grove School,urban,46.85,NC,90632,Greensboro,County S0152,District S0152
S0153,Maple Grove School,rural,54.75,TX,10110,San Antonio,County S0153,District S0153
S0154,Hillcrest Middle School,unknown,35.45,MI,67845,Detroit,County S0154,District S0154
S0155,Prairie View Elementry School,suburban,11.06,IL,55951,Chicago,County S0155,District S0155
S0156,Prairie View Elementry School,urban,11.95,OH,22922,Cincinnati,County S0156,District S0156
S0157,Pinecrest Academy,suburban,41.41,NC,26355,Greensboro,County S0157,District S0157
S0158,Summit Elementary School,suburban,76.62,OH,82621,Cincinnati,County S0158,District S0158
S0159,Lincoln Elementary School,rural,33.41,NY,98218,Rochester,County S0159,District S0159
S0160,Washington Elementary School,suburban,41.52,CA,71963,Sacramento,County S0160,District S0160
S0161,Martin Luther King Elementry School,unknown,90.4,GA,73849,Atlanta,County S0161,District S0161
S0162,Cesar Chavez Elementry School,urban,94.09,MI,64424,Detroit,County S0162,District S0162
S0163,Martin Luther King Elementry School,rural,94.21,IL,14437,Naperville,County S0163,District S0163
S0164,Lincoln Elementary School,urban,35.72,MI,67078,Detroit,County S0164,District S0164
S0165,Valley View Elementary School,town,60.52,GA,52524,Atlanta,County S0165,District S0165
S0166,Maple Grove School,suburban,64.01,IL,94712,Rockford,County S0166,District S0166
S0167,Pinecrest Academy,urban,54.55,GA,45282,Columbus,County S0167,District S0167
S0168,Deerfield Elementry School,suburban,13.9,NC,11922,Raleigh,County S0168,District S0168
S0169,Pinecrest Academy,urban,72.75,MI,58866,Grand Rapids,County S0169,District S0169
S0170,Lakeside High School,rural,60.86,NY,94166,Bronx,County S0170,District S0170
S0171,Deerfield Elementry School,suburban,11.81,TX,53685,Dallas,County S0171,District S0171
S0172,Prairie View Elementry School,urban,11.88,NC,72355,Greensboro,County S0172,District S0172
S0173,Lincoln Elementary School,town,43.86,FL,21658,Jacksonville,County S0173,District S0173
S0174,Lakeside High School,town,50.21,NC,10349,Raleigh,County S0174,District S0174
S0175,Prairie View Elementry School,unknown,13.91,NC,59853,Raleigh,County S0175,District S0175
S0176,Washington Elementary School,suburban,72.13,MI,40643,Grand Rapids,County S0176,District S0176
S0177,Riverside High School,suburban,60.44,NC,33407,Charlotte,County S0177,District S0177
S0178,Martin Luther King Elementry School,town,91.58,PA,78815,Pittsburgh,County S0178,District S0178
S0179,Valley View Elementary School,rural,58.23,TX,17729,Fort Worth,County S0179,District S0179
S0180,Valley View Elementary School,unknown,32.35,NY,10758,Queens,County S0180,District S0180
S0181,Jefferson High School,unknown,73.72,OH,60531,Cleveland,County S0181,District S0181
S0182,Jefferson High School,town,61.43,PA,12827,Allentown,County S0182,District S0182
S0183,Hillcrest Middle School,unknown,76.78,NC,34742,Raleigh,County S0183,District S0183
S0184,Summit Elementary School,suburban,52.26,FL,44640,Fort Lauderdale,County S0184,District S0184
S0185,Hillcrest Middle School,unknown,39.14,PA,98523,Pittsburgh,County S0185,District S0185
S0186,Lincoln Elementary School,unknown,45.11,CA,80641,Sacramento,County S0186,District S0186
S0187,Lakeside High School,suburban,51.85,CA,65998,San Diego,County S0187,District S0187
S0188,Jefferson High School,town,71.26,NC,23737,Raleigh,County S0188,District S0188
S0189,Lakeside High School,rural,61.68,MI,65489,Warren,County S0189,District S0189
S0190,Cesar Chavez Elementry School,suburban,93.4,OH,26702,Cleveland,County S0190,District S0190
S0191,Riverside High School,suburban,73.33,FL,27979,Orlando,County S0191,District S0191
S0192,Hillcrest Middle School,town,41.67,IL,14680,Joliet,County S0192,District S0192
S0193,Valley View Elementary School,town,36.3,OH,62610,Cleveland,County S0193,District S0193
S0194,Jefferson High School,urban,40.66,TX,77849,San Antonio,County S0194,District S0194
S0195,Prairie View Elementry School,urban,12.01,NY,15791,Rochester,County S0195,District S0195
S0196,Martin Luther King Elementry School,rural,90.39,PA,40913,Allentown,County S0196,District S0196
S0197,Summit Elementary School,suburban,57.42,TX,61315,Dallas,County S0197,District S0197
S0198,Hillcrest Middle School,urban,34.74,CA,14498,Oakland,County S0198,District S0198
S0199,Jefferson High School,rural,48.52,NC,29384,Charlotte,County S0199,District S0199
S0200,Deerfield Elementry School,rural,10.41,IL,60541,Chicago,County S0200,District S0200
S0201,Prairie View Elementry School,rural,12.38,IL,50166,Joliet,County S0201,District S0201
S0202,Maple Grove School,urban,39.78,IL,85991,Rockford,County S0202,District S0202
S0203,Valley View Elementary School,unknown,59.89,TX,20466,Dallas,County S0203,District S0203
S0204,Deerfield Elementry School,rural,10.68,NC,79792,Charlotte,County S0204,District S0204
S0205,Martin Luther King Elementry School,rural,92.87,TX,47417,El Paso,County S0205,District S0205
S0206,Washington Elementary School,urban,52.83,PA,76735,Pittsburgh,County S0206,District S0206
S0207,Riverside High School,rural,54.8,IL,27776,Chicago,County S0207,District S0207
S0208,Washington Elementary School,urban,63.86,NY,94885,Buffalo,County S0208,District S0208
S0209,Maple Grove School,unknown,70.02,NC,72932,Charlotte,County S0209,District S0209
S0210,Oakridge Middle School,suburban,33.15,NY,55685,Buffalo,County S0210,District S0210
S0211,Cesar Chavez Elementry School,unknown,93.61,MI,79639,Grand Rapids,County S0211,District S0211
S0212,Martin Luther King Elementry School,rural,91.53,PA,98847,Pittsburgh,County S0212,District S0212
S0213,Oakridge Middle School,suburban,48.18,MI,28863,Detroit,County S0213,District S0213
S0214,Lakeside High School,rural,53.72,FL,76573,Tampa,County S0214,District S0214
S0215,Riverside High School,unknown,46.14,CA,93108,San Francisco,County S0215,District S0215
S0216,Summit Elementary School,urban,56.09,CA,16154,San Francisco,County S0216,District S0216
S0217,Maple Grove School,urban,37.18,IL,17383,Rockford,County S0217,District S0217
S0218,Deerfield Elementry School,unknown,10.14,CA,86295,San Jose,County S0218,District S0218
S0219,Pinecrest Academy,suburban,38.52,OH,63733,Columbus,County S0219,District S0219
S0220,Lakeside High School,urban,47.5,FL,95883,Jacksonville,County S0220,District S0220
S0221,Valley View Elementary School,rural,71.19,OH,18747,Columbus,County S0221,District S0221
S0222,Jefferson High School,suburban,68.51,MI,12474,Grand Rapids,County S0222,District S0222
S0223,Pinecrest Academy,suburban,45.71,FL,30278,Tampa,County S0223,District S0223
S0224,Cesar Chavez Elementry School,urban,94.85,GA,66266,Columbus,County S0224,District S0224
S0225,Jefferson High School,urban,55.85,CA,50791,Sacramento,County S0225,District S0225
S0226,Pinecrest Academy,rural,41.52,GA,95070,Columbus,County S0226,District S0226
S0227,Oakridge Middle School,suburban,69.96,NC,85874,Greensboro,County S0227,District S0227
S0228,Oakridge Middle School,urban,41.73,MI,97126,Warren,County S0228,District S0228
S0229,Cesar Chavez Elementry School,suburban,93.68,IL,67603,Joliet,County S0229,District S0229
S0230,Deerfield Elementry School,rural,10.48,NC,24182,Charlotte,County S0230,District S0230
S0231,Prairie View Elementry School,town,11.49,NC,89974,Charlotte,County S0231,District S0231
S0232,Prairie View Elementry School,unknown,10.15,MI,27075,Grand Rapids,County S0232,District S0232
S0233,Jefferson High School,town,74.55,GA,22683,Augusta,County S0233,District S0233
S0234,Pinecrest Academy,suburban,43.84,CA,81586,San Francisco,County S0234,District S0234
S0235,Lakeside High School,unknown,60.02,PA,16942,Philadelphia,County S0235,District S0235
S0236,Jefferson High School,urban,58.59,MI,80094,Detroit,County S0236,District S0236
S0237,Hillcrest Middle School,rural,45.43,GA,19743,Atlanta,County S0237,District S0237
S0238,Maple Grove School,unknown,45.5,IL,82735,Naperville,County S0238,District S0238
S0239,Lakeside High School,rural,56.0,NY,89378,New York,County S0239,District S0239
S0240,Pinecrest Academy,rural,48.39,IL,48562,Aurora,County S0240,District S0240
S0241,Oakridge Middle School,urban,36.9,MI,34249,Grand Rapids,County S0241,District S0241
S0242,Riverside High School,urban,43.33,NY,49942,Buffalo,County S0242,District S0242
S0243,Hillcrest Middle School,urban,45.97,CA,85341,Los Angeles,County S0243,District S0243
S0244,Lakeside High School,rural,41.38,CA,48942,San Francisco,County S0244,District S0244
S0245,Prairie View Elementry School,urban,10.07,NY,82355,Brooklyn,County S0245,District S0245
S0246,Washington Elementary School,suburban,41.29,GA,24933,Augusta,County S0246,District S0246
S0247,Maple Grove School,urban,42.46,CA,26171,San Francisco,County S0247,District S0247
S0248,Cesar Chavez Elementry School,rural,91.53,PA,98485,Allentown,County S0248,District S0248
S0249,Pinecrest Academy,suburban,74.42,CA,15451,Oakland,County S0249,District S0249
S0250,Maple Grove School,urban,34.57,NY,40837,Brooklyn,County S0250,District S0250
S0251,Summit Elementary School,rural,48.84,NC,15446,Greensboro,County S0251,District S0251
S0252,Lakeside High School,urban,71.31,NC,52389,Raleigh,County S0252,District S0252
S0253,Prairie View Elementry School,rural,11.99,PA,59317,Pittsburgh,County S0253,District S0253
S0254,Jefferson High School,urban,59.28,NY,36327,Buffalo,County S0254,District S0254
S0255,Summit Elementary School,urban,71.03,OH,62367,Cleveland,County S0255,District S0255
S0256,Oakridge Middle School,unknown,58.06,NC,63879,Raleigh,County S0256,District S0256
S0257,Prairie View Elementry School,urban,10.22,PA,70416,Philadelphia,County S0257,District S0257
S0258,Washington Elementary School,urban,63.77,CA,27725,Oakland,County S0258,District S0258
S0259,Pinecrest Academy,urban,35.77,GA,42590,Columbus,County S0259,District S0259
S0260,Martin Luther King Elementry School,rural,94.89,NC,48565,Raleigh,County S0260,District S0260
S0261,Lakeside High School,suburban,78.36,NY,68510,Buffalo,County S0261,District S0261
S0262,Summit Elementary School,town,61.79,GA,78998,Columbus,County S0262,District S0262
S0263,Deerfield Elementry School,rural,12.71,FL,79965,Jacksonville,County S0263,District S0263
S0264,Riverside High School,town,64.65,NY,97623,Bronx,County S0264,District S0264
S0265,Martin Luther King Elementry School,town,94.96,TX,75650,Dallas,County S0265,District S0265
S0266,Lakeside High School,urban,53.44,CA,21412,San Jose,County S0266,District S0266
S0267,Oakridge Middle School,suburban,72.11,NY,57975,New York,County S0267,District S0267
S0268,Lakeside High School,urban,43.5,MI,91006,Detroit,County S0268,District S0268
S0269,Deerfield Elementry School,urban,13.63,OH,41422,Columbus,County S0269,District S0269
S0270,Lakeside High School,rural,69.36,MI,19096,Grand Rapids,County S0270,District S0270
S0271,Riverside High School,suburban,38.78,MI,56963,Detroit,County S0271,District S0271
S0272,Oakridge Middle School,unknown,67.24,MI,63071,Warren,County S0272,District S0272
S0273,Riverside High School,urban,58.42,NY,68396,New York,County S0273,District S0273
S0274,Cesar Chavez Elementry School,unknown,90.97,IL,49971,Chicago,County S0274,District S0274
S0275,Lakeside High School,urban,56.73,CA,94172,Oakland,County S0275,District S0275
S0276,Jefferson High School,town,75.56,PA,13680,Pittsburgh,County S0276,District S0276
S0277,Riverside High School,town,46.46,FL,64232,Jacksonville,County S0277,District S0277
S0278,Oakridge Middle School,town,43.15,TX,50503,Dallas,County S0278,District S0278
S0279,Washington Elementary School,suburban,51.83,OH,19747,Cleveland,County S0279,District S0279
S0280,Prairie View Elementry School,unknown,11.42,NC,67227,Charlotte,County S0280,District S0280
S0281,Washington Elementary School,unknown,33.0,NY,42548,New York,County S0281,District S0281
S0282,Prairie View Elementry School,suburban,14.69,TX,40725,Houston,County S0282,District S0282
S0283,Prairie View Elementry School,rural,13.54,FL,79223,Jacksonville,County S0283,District S0283
S0284,Lincoln Elementary School,urban,65.84,IL,74298,Naperville,County S0284,District S0284
S0285,Prairie View Elementry School,town,11.44,MI,45984,Grand Rapids,County S0285,District S0285
S0286,Martin Luther King Elementry School,rural,92.89,NC,36484,Greensboro,County S0286,District S0286
S0287,Deerfield Elementry School,suburban,14.26,CA,62747,San Diego,County S0287,District S0287
S0288,Summit Elementary School,rural,57.64,MI,60560,Grand Rapids,County S0288,District S0288
S0289,Washington Elementary School,town,70.65,GA,35250,Atlanta,County S0289,District S0289
S0290,Summit Elementary School,suburban,41.04,TX,81468,Dallas,County S0290,District S0290
S0291,Jefferson High School,rural,43.67,NC,26565,Charlotte,County S0291,District S0291
S0292,Riverside High School,unknown,74.17,FL,79357,Fort Lauderdale,County S0292,District S0292
S0293,Martin Luther King Elementry School,unknown,92.86,FL,63598,Fort Lauderdale,County S0293,District S0293
S0294,Pinecrest Academy,suburban,77.38,MI,94721,Detroit,County S0294,District S0294
S0295,Maple Grove School,suburban,78.29,PA,95101,Pittsburgh,County S0295,District S0295
S0296,Oakridge Middle School,rural,38.79,PA,66153,Pittsburgh,County S0296,District S0296
S0297,Washington Elementary School,suburban,53.92,TX,97241,El Paso,County S0297,District S0297
S0298,Oakridge Middle School,suburban,50.54,PA,53657,Allentown,County S0298,District S0298
S0299,Riverside High School,unknown,69.68,PA,62080,Allentown,County S0299,District S0299
S0300,Riverside High School,unknown,37.9,GA,28925,Atlanta,County S0300,District S0300
SCH_ALL_00000,Aug School 0,rural,33.0,Alabama,12345,City_Alabama,County_Alabama,District_Alabama
SCH_ALL_00001,Aug School 1,unknown,79.0,Alabama,12345,City_Alabama,County_Alabama,District_Alabama
SCH_ALL_00002,Aug School 2,suburban,87.0,Alabama,12345,City_Alabama,County_Alabama,District_Alabama
SCH_ALL_00003,Aug School 3,suburban,82.0,Alaska,12345,City_Alaska,County_Alaska,District_Alaska
SCH_ALL_00004,Aug School 4,unknown,53.0,Alaska,12345,City_Alaska,County_Alaska,District_Alaska
SCH_ALL_00005,Aug School 5,urban,52.0,Alaska,12345,City_Alaska,County_Alaska,District_Alaska
SCH_ALL_00006,Aug School 6,rural,66.0,Arizona,12345,City_Arizona,County_Arizona,District_Arizona
SCH_ALL_00007,Aug School 7,rural,47.0,Arizona,12345,City_Arizona,County_Arizona,District_Arizona
SCH_ALL_00008,Aug School 8,urban,53.0,Arizona,12345,City_Arizona,County_Arizona,District_Arizona
SCH_ALL_00009,Aug School 9,urban,57.0,Arkansas,12345,City_Arkansas,County_Arkansas,District_Arkansas
SCH_ALL_00010,Aug School 10,urban,56.0,Arkansas,12345,City_Arkansas,County_Arkansas,District_Arkansas
SCH_ALL_00011,Aug School 11,urban,52.0,Arkansas,12345,City_Arkansas,County_Arkansas,District_Arkansas
SCH_ALL_00012,Aug School 12,rural,18.0,California,12345,City_California,County_California,District_California
SCH_ALL_00013,Aug School 13,suburban,52.0,California,12345,City_California,County_California,District_California
SCH_ALL_00014,Aug School 14,urban,88.0,California,12345,City_California,County_California,District_California
SCH_ALL_00015,Aug School 15,suburban,58.0,Colorado,12345,City_Colorado,County_Colorado,District_Colorado
SCH_ALL_00016,Aug School 16,unknown,60.0,Colorado,12345,City_Colorado,County_Colorado,District_Colorado
SCH_ALL_00017,Aug School 17,suburban,14.0,Colorado,12345,City_Colorado,County_Colorado,District_Colorado
SCH_ALL_00018,Aug School 18,urban,26.0,Connecticut,12345,City_Connecticut,County_Connecticut,District_Connecticut
SCH_ALL_00019,Aug School 19,suburban,90.0,Connecticut,12345,City_Connecticut,County_Connecticut,District_Connecticut
